ranking,features
"(52, 0)",afvi_median
"(40, 4)",avi_median_dry
"(49, 5)",avi_median_wet
"(44, 6)",awei_median
"(18, 8)",awei_median_wet
"(46, 9)",blue_median
"(15, 11)",blue_median_wet
"(1, 12)",blue_stdDev
"(29, 13)",brba_median
"(9, 14)",brba_median_dry
"(41, 15)",brba_median_wet
"(55, 19)",bsi_median
"(26, 20)",bsi_median_1
"(33, 22)",cvi_median
"(2, 23)",cvi_median_dry
"(56, 24)",cvi_median_wet
"(54, 26)",dswi5_median_dry
"(8, 29)",evi_median_dry
"(1, 30)",evi_median_wet
"(1, 31)",gcvi_median
"(35, 32)",gcvi_median_dry
"(17, 33)",gcvi_median_wet
"(3, 35)",gemi_median_dry
"(4, 37)",gli_median
"(47, 38)",gli_median_dry
"(1, 39)",gli_median_wet
"(42, 40)",green_median
"(19, 41)",green_median_dry
"(1, 43)",green_stdDev
"(50, 44)",gvmi_median
"(38, 47)",hillshade
"(5, 48)",iia_median
"(24, 49)",iia_median_dry
"(1, 50)",iia_median_wet
"(1, 51)",lswi_median
"(43, 52)",lswi_median_dry
"(13, 54)",mbi_median
"(51, 55)",mbi_median_dry
"(39, 56)",mbi_median_wet
"(1, 57)",nddi_median
"(28, 59)",nddi_median_wet
"(45, 60)",ndvi_median
"(20, 61)",ndvi_median_dry
"(36, 62)",ndvi_median_wet
"(25, 64)",ndwi_median_dry
"(37, 67)",nir_median_contrast
"(27, 68)",nir_median_dry
"(23, 72)",osavi_median
"(30, 74)",osavi_median_wet
"(48, 75)",ratio_median
"(34, 76)",ratio_median_dry
"(10, 77)",ratio_median_wet
"(1, 83)",red_stdDev
"(12, 84)",ri_median
"(11, 85)",ri_median_dry
"(1, 86)",ri_median_wet
"(53, 87)",rvi_median
"(16, 89)",rvi_median_wet
"(14, 90)",shape_median
"(1, 92)",shape_median_wet
"(21, 93)",solpe
"(57, 94)",swir1_median
"(22, 96)",swir1_median_wet
"(7, 97)",swir1_stdDev
"(58, 100)",swir2_median_wet
"(6, 101)",swir2_stdDev
"(31, 105)",wetness_median
"(32, 107)",wetness_median_wet
